"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"174","South Africa","ZAF","tokyo-2020",TRUE,61503000,1,1,0,0,0,0,1,3,2
"175","Spain","ESP","tokyo-2020",TRUE,47736000,11,0,0,0,0,6,17,17,17
"176","Sri Lanka","LKA","tokyo-2020",TRUE,22700000,0,0,0,0,0,0,0,0,0
"177","Sudan","SDN","tokyo-2020",TRUE,48067000,0,0,0,0,0,0,0,0,0
"178","South Sudan","SSD","tokyo-2020",TRUE,10866000,0,0,0,0,0,0,0,0,0
"179","Suriname","SUR","tokyo-2020",TRUE,618000,0,0,0,0,0,0,0,0,0
"180","Sweden","SWE","tokyo-2020",TRUE,10416000,6,0,0,0,0,3,9,9,9
"181","Switzerland","CHE","tokyo-2020",TRUE,8707000,9,1,0,0,0,2,11,13,12
"182","Syria","SYR","tokyo-2020",TRUE,21629000,1,0,0,0,0,0,1,1,1
"183","Tajikistan","TJK","tokyo-2020",TRUE,9967000,0,0,0,0,0,0,0,0,0
"184","Tanzania","TZA","tokyo-2020",TRUE,62830000,0,0,0,0,0,0,0,0,0
"185","Thailand","THA","tokyo-2020",TRUE,71727000,2,0,0,0,0,0,2,2,2
"186","East Timor","TLS","tokyo-2020",TRUE,1350000,0,0,0,0,0,0,0,0,0
"187","Togo","TGO","tokyo-2020",TRUE,8878000,0,0,0,0,0,0,0,0,0
"188","Tonga","TON","tokyo-2020",TRUE,105000,0,0,0,0,0,0,0,0,0
"189","Trinidad and Tobago","TTO","tokyo-2020",TRUE,1488000,0,0,0,0,0,0,0,0,0
"190","Tunisia","TUN","tokyo-2020",TRUE,12049000,2,0,0,0,0,0,2,2,2
"191","Turkey","TUR","tokyo-2020",TRUE,86686000,13,0,0,0,0,0,13,13,13
"192","Turkmenistan","TKM","tokyo-2020",TRUE,7092000,1,0,0,0,0,0,1,1,1
"193","Tuvalu","TUV","tokyo-2020",TRUE,10000,0,0,0,0,0,0,0,0,0
"194","Uganda","UGA","tokyo-2020",TRUE,45911000,2,1,0,0,0,0,2,4,3
"195","Ukraine","UKR","tokyo-2020",TRUE,44299000,13,1,0,0,0,4,17,19,18
"196","United Arab Emirates","ARE","tokyo-2020",TRUE,9789000,0,0,0,0,0,0,0,0,0
"197","United States","USA","tokyo-2020",TRUE,340161000,67,6,2,0,0,28,95,113,103
"198","Uruguay","URY","tokyo-2020",TRUE,3397000,0,0,0,0,0,0,0,0,0
"199","Uzbekistan","UZB","tokyo-2020",TRUE,34244000,5,0,0,0,0,0,5,5,5
"200","Vanuatu","VUT","tokyo-2020",TRUE,306000,0,0,0,0,0,0,0,0,0
"201","Venezuela","VEN","tokyo-2020",TRUE,28238000,4,0,0,0,0,0,4,4,4
"202","Vietnam","VNM","tokyo-2020",TRUE,98935000,0,0,0,0,0,0,0,0,0
"203","Virgin Islands","VIR","tokyo-2020",TRUE,87000,0,0,0,0,0,0,0,0,0
"204","Yemen","YEM","tokyo-2020",TRUE,37140000,0,0,0,0,0,0,0,0,0
"205","Zambia","ZMB","tokyo-2020",TRUE,19604000,0,0,0,0,0,0,0,0,0
"206","Zimbabwe","ZWE","tokyo-2020",TRUE,15797000,0,0,0,0,0,0,0,0,0
