"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"172","Solomon Islands","SLB","london-2012",TRUE,574000,0,0,0,0,0,0,0,0,0
"173","Somalia","SOM","london-2012",TRUE,12461000,0,0,0,0,0,0,0,0,0
"174","South Africa","ZAF","london-2012",TRUE,53783000,3,1,0,0,0,1,4,6,5
"175","Spain","ESP","london-2012",TRUE,47018000,12,1,0,0,0,6,18,20,19
"176","Sri Lanka","LKA","london-2012",TRUE,21169000,0,0,0,0,0,0,0,0,0
"177","Sudan","SDN","london-2012",TRUE,36923000,0,0,0,0,0,0,0,0,0
"178","South Sudan","SSD","london-2012",FALSE,10756000,0,0,0,0,0,0,0,0,0
"179","Suriname","SUR","london-2012",TRUE,563000,0,0,0,0,0,0,0,0,0
"180","Sweden","SWE","london-2012",TRUE,9519000,6,0,0,0,0,2,8,8,8
"181","Switzerland","CHE","london-2012",TRUE,7999000,4,0,0,0,0,0,4,4,4
"182","Syria","SYR","london-2012",TRUE,22760000,0,0,0,0,0,0,0,0,0
"183","Tajikistan","TJK","london-2012",TRUE,8014000,1,0,0,0,0,0,1,1,1
"184","Tanzania","TZA","london-2012",TRUE,47374000,0,0,0,0,0,0,0,0,0
"185","Thailand","THA","london-2012",TRUE,69436000,4,0,0,0,0,0,4,4,4
"186","East Timor","TLS","london-2012",TRUE,1135000,0,0,0,0,0,0,0,0,0
"187","Togo","TGO","london-2012",TRUE,7101000,0,0,0,0,0,0,0,0,0
"188","Tonga","TON","london-2012",TRUE,107000,0,0,0,0,0,0,0,0,0
"189","Trinidad and Tobago","TTO","london-2012",TRUE,1404000,2,0,0,0,0,2,4,4,4
"190","Tunisia","TUN","london-2012",TRUE,11010000,1,1,0,0,0,0,1,3,2
"191","Turkey","TUR","london-2012",TRUE,75197000,3,0,0,0,0,0,3,3,3
"192","Turkmenistan","TKM","london-2012",TRUE,5809000,0,0,0,0,0,0,0,0,0
"193","Tuvalu","TUV","london-2012",TRUE,11000,0,0,0,0,0,0,0,0,0
"194","Uganda","UGA","london-2012",TRUE,34337000,1,0,0,0,0,0,1,1,1
"195","Ukraine","UKR","london-2012",TRUE,46210000,12,2,0,0,0,3,15,19,17
"196","United Arab Emirates","ARE","london-2012",TRUE,7497000,0,0,0,0,0,0,0,0,0
"197","United States","USA","london-2012",TRUE,317115000,55,7,2,0,0,29,84,104,93
"198","Uruguay","URY","london-2012",TRUE,3335000,0,0,0,0,0,0,0,0,0
"199","Uzbekistan","UZB","london-2012",TRUE,29262000,2,0,0,0,0,0,2,2,2
"200","Vanuatu","VUT","london-2012",TRUE,249000,0,0,0,0,0,0,0,0,0
"201","Venezuela","VEN","london-2012",TRUE,29554000,1,0,0,0,0,0,1,1,1
"202","Vietnam","VNM","london-2012",TRUE,89510000,0,0,0,0,0,0,0,0,0
"203","Virgin Islands","VIR","london-2012",TRUE,104000,0,0,0,0,0,0,0,0,0
"204","Yemen","YEM","london-2012",TRUE,28434000,0,0,0,0,0,0,0,0,0
"205","Zambia","ZMB","london-2012",TRUE,14914000,0,0,0,0,0,0,0,0,0
"206","Zimbabwe","ZWE","london-2012",TRUE,13818000,0,0,0,0,0,0,0,0,0
